기온분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 서울
기간 : 1989~2021 01~12

년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2003-05,108,19.6,8.5,30.4
2003-06,108,21.5,14.4,31.1
2003-07,108,23.8,18.3,31.4
2003-08,108,24.1,16.6,32.2
2003-09,108,20.9,13.8,28.7
2003-10,108,13.9,2.7,26
2003-11,108,9.5,-3.2,21.3
2003-12,108,0.7,-8.1,12
2004-01,108,-1.5,-16.7,8.1
2004-02,108,2.3,-7.8,18.7
2004-03,108,6.3,-5.6,18.7
2004-04,108,13.1,2.7,27.3
2004-05,108,17.6,8.8,27.6
2004-06,108,23.2,14.6,32.5
2004-07,108,24.8,19.5,34.5
2004-08,108,26.1,18.7,36.2
2004-09,108,21.7,12.8,31.3
2004-10,108,15.2,5.3,25.6
2004-11,108,9.1,0.2,21.5
2004-12,108,1.9,-8.3,16.2
2005-01,108,-2.5,-11,7.3
2005-02,108,-1.9,-13.1,10.5
2005-03,108,4.1,-6.5,17.6
2005-04,108,13.2,4.1,29.8
2005-05,108,17.7,6.3,30.2
2005-06,108,22.7,15.5,32
2005-07,108,25.3,18.3,34.2
2005-08,108,25.1,16.5,35
2005-09,108,21.8,13.8,30.8
2005-10,108,14.7,3,24.9
2005-11,108,8.6,-1.1,21.8
2005-12,108,-3.9,-14,11.1
2006-01,108,-0.2,-10.1,9.3
2006-02,108,0.1,-14.1,11.5
2006-03,108,5.2,-6.9,17.2
2006-04,108,11.6,2.9,22.2
2006-05,108,18.4,10.8,28.3
2006-06,108,21.8,14.1,32.4
2006-07,108,23.1,17.5,30.1
2006-08,108,27,20.8,34.7
2006-09,108,21.1,11.3,30.3
2006-10,108,17.9,7.9,27.5
2006-11,108,8.4,-1.3,20.2
2006-12,108,1.4,-12.3,12.6
2007-01,108,0.4,-7.6,11.8
2007-02,108,4,-8.6,14.8
2007-03,108,6.1,-7.6,16.2
2007-04,108,11.4,1.6,22.5
2007-05,108,18.1,9,30.1
2007-06,108,23.2,14.1,33.2
2007-07,108,24.2,17.7,31.2
2007-08,108,26.5,19.8,33.2
2007-09,108,21.5,14.1,31.1
2007-10,108,15.1,3.2,26.2
2007-11,108,6.7,-5.5,19.3
2007-12,108,1.8,-7.4,13.8
2008-01,108,-1.7,-11.1,7.3
2008-02,108,-1.2,-10.1,10.5
2008-03,108,7.3,-1.7,19.8
2008-04,108,14.1,3.8,28
2008-05,108,17.7,8.1,28.5
2008-06,108,21.5,13.7,29.6
2008-07,108,25.1,20.2,32.9
2008-08,108,25.3,16.3,35.4
2008-09,108,22,10.3,32
2008-10,108,16.1,5.6,28.3
2008-11,108,7.6,-7.2,18.4
2008-12,108,1.1,-13.1,13.3
2009-01,108,-2,-11.4,12.2
2009-02,108,2.9,-8.6,16.1
2009-03,108,6,-3.3,22.2
2009-04,108,12.7,2.2,25.8
2009-05,108,19.1,9.8,31
2009-06,108,22.4,14.3,32.4
2009-07,108,24.3,18.7,32.4
2009-08,108,25.7,16.4,34.4
2009-09,108,21.8,14.4,29.9
2009-10,108,16,6.2,26.4
2009-11,108,6.9,-4.3,21.8
2009-12,108,-1,-12.9,10.1
2010-01,108,-4.5,-15.3,8.4
2010-02,108,1.4,-10.8,17.9
2010-03,108,4.3,-4,14.2
2010-04,108,9.5,1.1,20.7
2010-05,108,17.2,5.8,28.6
2010-06,108,23.4,12.1,32.7
2010-07,108,25.8,21,32.3
2010-08,108,26.5,19.9,33.8
2010-09,108,21.8,8.4,31.4
2010-10,108,14.5,0.7,24.2
2010-11,108,6.5,-5.2,17.4
2010-12,108,-1.3,-15.1,13.5
2011-01,108,-7.2,-17.8,0.3
2011-02,108,1.2,-9.2,13.2
2011-03,108,3.6,-5.5,16.8
2011-04,108,10.7,4.3,19
2011-05,108,17.9,8.5,31.2
2011-06,108,22,14.4,32.9
2011-07,108,24.6,18.9,34.1
2011-08,108,25.8,18.1,34.1
2011-09,108,21.8,10.3,32.4
2011-10,108,14.2,3.1,23.4
2011-11,108,10.7,-5.5,25.9
2011-12,108,-0.9,-10.6,9.1
2012-01,108,-2.8,-12.2,8.4
2012-02,108,-2,-17.1,12.1
2012-03,108,5.1,-5.7,16.2
2012-04,108,12.3,0.6,29.4
2012-05,108,19.7,12,29.3
2012-06,108,24.1,16.3,33.5
2012-07,108,25.4,18.5,33.2
2012-08,108,27.1,18.7,36.7
2012-09,108,21,12,29.5
2012-10,108,15.3,2.8,26
2012-11,108,5.5,-3,15.7
2012-12,108,-4.1,-14.5,8.3
2013-01,108,-3.4,-16.4,11.5
2013-02,108,-1.2,-15.8,13.9
2013-03,108,5.1,-4.4,23.8
2013-04,108,10,1.3,21.6
2013-05,108,18.2,7.9,31.8
2013-06,108,24.4,16.3,32.6
2013-07,108,25.5,20.5,31.3
2013-08,108,27.7,21.1,33.9
2013-09,108,21.8,10.9,31.1
2013-10,108,15.8,4.3,28.1
2013-11,108,6.2,-6.4,20.7
2013-12,108,-0.2,-9.8,11
2014-01,108,-0.7,-10.5,8.2
2014-02,108,1.9,-10.5,16.4
2014-03,108,7.9,-4.6,23.8
2014-04,108,14,2.3,26.2
2014-05,108,18.9,6.8,33.3
2014-06,108,23.1,17.3,31.1
2014-07,108,26.1,19.1,34.4
2014-08,108,25.2,18.3,35.8
2014-09,108,22.1,14.9,31.3
2014-10,108,15.6,2.7,29
2014-11,108,9,-3.1,22.9
2014-12,108,-2.9,-13.2,7.9
2015-01,108,-0.9,-9.8,9
2015-02,108,1,-13,13
2015-03,108,6.3,-6.9,21.9
2015-04,108,13.3,3.5,28.3
2015-05,108,18.9,8.3,32.2
2015-06,108,23.6,15.6,34.9
2015-07,108,25.8,18.2,36
2015-08,108,26.3,18.9,34.4
2015-09,108,22.4,14.2,31
2015-10,108,15.5,1.1,26.6
2015-11,108,8.9,-7.3,21
2015-12,108,1.6,-9.5,12.2
2016-01,108,-3.2,-18,9.5
2016-02,108,0.2,-10,14.4
2016-03,108,7,-7.5,21.4
2016-04,108,14.1,5.1,29.6
2016-05,108,19.6,8.9,31.9
2016-06,108,23.6,17.1,32.2
2016-07,108,26.2,19.8,34.1
2016-08,108,28,16.1,36.6
2016-09,108,23.1,14.3,31.1
2016-10,108,16.1,0.7,29
2016-11,108,6.8,-6.2,18.6
2016-12,108,1.2,-9.8,13.6
2017-01,108,-1.8,-12.6,11.4
2017-02,108,-0.2,-9.3,12.3
2017-03,108,6.3,-5.3,18.9
2017-04,108,13.9,3.1,27.8
2017-05,108,19.5,10,30.3
2017-06,108,23.3,14.5,34.1
2017-07,108,26.9,21.9,35.4
2017-08,108,25.9,16.1,35.3
2017-09,108,22.1,11.2,31.4
2017-10,108,16.4,2.5,29.4
2017-11,108,5.6,-6.6,18.4
2017-12,108,-1.9,-12.3,8.7
2018-01,108,-4,-17.8,8.7
2018-02,108,-1.6,-13.4,10.4
2018-03,108,8.1,-6.7,22.1
2018-04,108,13,0.1,26.3
2018-05,108,18.2,6.9,29.6
2018-06,108,23.1,16.3,32.9
2018-07,108,27.8,17.7,38.3
2018-08,108,28.8,20.2,39.6
2018-09,108,21.5,10.8,30.9
2018-10,108,13.1,0.7,25.6
2018-11,108,7.8,-3.1,19.4
2018-12,108,-0.6,-14.4,13.5
2019-01,108,-0.9,-10.1,8.5
2019-02,108,1,-10.2,14.5
2019-03,108,7.1,-1.7,17.6
2019-04,108,12.1,0.3,28.2
2019-05,108,19.4,8.4,33.4
2019-06,108,22.5,14.1,32.8
2019-07,108,25.9,19.3,36.1
2019-08,108,27.2,18.5,36.8
2019-09,108,22.6,13.6,30.5
2019-10,108,16.4,4.7,28.2
2019-11,108,7.6,-4.6,22.1
2019-12,108,1.4,-10.9,12.9
2020-01,108,1.6,-6.5,11.9
2020-02,108,2.5,-11.8,15.6
2020-03,108,7.7,-2.8,20.6
2020-04,108,11.1,1.9,23.8
2020-05,108,18,9.2,30
2020-06,108,23.9,14.8,35.4
2020-07,108,24.1,17.2,32.9
2020-08,108,26.5,21.5,34.5
2020-09,108,21.4,13.6,29.5
2020-10,108,14.3,3.2,23.6
2020-11,108,8,-3.6,20
2020-12,108,-0.3,-12.9,11.4
2021-01,108,-2.4,-18.6,13.9
2021-02,108,2.7,-10.6,17.4
2021-03,108,9,-1.2,22.9
2021-04,108,14.2,3.1,28.2
2021-05,108,17.1,7.3,30.8
2021-06,108,22.8,13.3,31.6
2021-07,108,28.1,19.6,36.5
2021-08,108,25.9,18.1,33.7
2021-09,108,22.6,16,30.3
2021-10,108,15.6,1.3,28.8
2021-11,108,8.2,-3.7,21.3
2021-12,108,1,-15.5,13.3

